number,country,GDP_per_capita,GDP_growth_rate
1,Liechtenstein,139100,1.8
2,Macau,122000,9.0999999999999996
3,Monaco,115700,5.4000000000000004
4,Luxembourg,112009,2.3100000000000001
5,Bermuda,99400,-0.10000000000000001
6,Norway,91781,0.85999999999999999
7,Isle-of-Man,84600,-8.5999999999999996
8,Switzerland,81475,1.1100000000000001
9,Ireland,81340,5.8600000000000003
10,Brunei,78900,1.3
11,Falkland-Islands-(Islas-Malvinas),70800,25.5
12,United-Arab-Emirates,68600,0.80000000000000004
13,Sint-Maarten,66800,3.6000000000000001
14,Denmark,66351,2.8500000000000001
15,Australia,62753,1.8400000000000001
16,Qatar,62019,1.6000000000000001
18,Sweden,59699,1.29
19,San-Marino,59000,1.8999999999999999
20,Singapore,57853,0.72999999999999998
21,Jersey,56600,1
22,Netherlands,56329,1.6299999999999999
23,United-States,55761,2.1600000000000001
24,Iceland,54696,1.9399999999999999
25,Saudi-Arabia,54500,-0.90000000000000002
26,Guernsey,52500,0.40000000000000002
27,Canada,52205,1.6599999999999999
28,Germany,50800,0.58999999999999997
29,Austria,50205,1.4199999999999999
30,Andorra,49900,-1.1000000000000001
31,Finland,49380,1.1499999999999999
32,Japan,48979,0.69999999999999996
33,Belgium,47478,1.4099999999999999
35,Oman,46000,-0.90000000000000002
36,France,45739,1.49
37,Cayman-Islands,43800,1.7
38,United-Kingdom,43111,1.26
39,Greenland,41800,7.7000000000000002
40,Faroe-Islands,40000,5.9000000000000004
41,New-Zealand,39815,2.2200000000000002
42,Puerto-Rico,39400,-2.3999999999999999
43,Hong-Kong,38293,-1.25
44,Israel,37527,3.2799999999999998
45,Aruba,37500,1.2
46,Malta,37300,4.9400000000000004
47,Virgin-Islands,37000,0.90000000000000002
48,Guam,35600,0.40000000000000002
49,Italy,35589,0.34000000000000002
50,British-Virgin-Islands,34200,2
51,Montserrat,34000,7.4000000000000004
52,Spain,33698,1.95
53,Kuwait,33087,-3.2999999999999998
54,Bahamas-The,32400,1.3999999999999999
55,New-Caledonia,31100,2
56,Korea-South,28941,2.04
57,Saint-Kitts-and-Nevis,28200,2.1000000000000001
58,Slovenia,27631,2.3999999999999999
59,Turks-and-Caicos-Islands,27100,5.2999999999999998
60,Antigua-and-Barbuda,26400,2.7999999999999998
61,Czechia,25816,2.27
62,Portugal,24808,2.2400000000000002
63,Greece,24588,1.8700000000000001
64,Taiwan,24502,2.71
65,Northern-Mariana-Islands,24500,28.600000000000001
66,Cyprus,23948,3.0800000000000001
67,Bahrain,23441,2.4900000000000002
68,Uruguay,22400,2.7000000000000002
69,Mauritius,22300,3.7999999999999998
70,Slovakia,21066,2.3999999999999999
71,Estonia,20897,5
72,Iran,20100,3.7000000000000002
73,Lebanon,19600,1.5
75,Maldives,19200,4.7999999999999998
76,Lithuania,18844,4.3300000000000001
77,Poland,18768,4.5499999999999998
78,Barbados,18600,-0.20000000000000001
79,Montenegro,17800,4.2999999999999998
80,Hungary,17749,4.5800000000000001
81,Botswana,17000,2.3999999999999999
82,Dominican-Republic,17000,4.5999999999999996
83,French-Polynesia,17000,2
84,Croatia,16923,2.9399999999999999
85,Costa-Rica,16900,3.2999999999999998
86,Latvia,16778,2.0800000000000001
87,Cook-Islands,16700,0.10000000000000001
88,Algeria,15200,1.3999999999999999
89,Trinidad-and-Tobago,15185,-2.6000000000000001
90,Grenada,15100,5.0999999999999996
91,Chile,15098,1.03
92,Turkey,15075,0.97999999999999998
93,Curacao,15000,3.6000000000000001
94,Seychelles,14955,5.2999999999999998
95,Macedonia,14900,0
96,Suriname,14900,1.8999999999999999
97,Palau,14700,-3.7000000000000002
98,Saint-Lucia,14400,3
99,Mongolia,13700,5.0999999999999996
100,Russia,12842,1.3400000000000001
101,Paraguay,12800,4.7999999999999998
102,Malaysia,12482,4.3099999999999996
103,Cuba,12300,1.6000000000000001
104,Nauru,12300,4
105,Anguilla,12200,-8.5
106,Romania,12011,4.2000000000000002
107,Panama,11910,5.4000000000000004
108,Tunisia,11900,2
109,Kazakhstan,11845,6.1299999999999999
110,Saint-Vincent-and-the-Grenadines,11500,0.69999999999999996
111,American-Samoa,11200,-2.5
112,Brazil,11117,1.1299999999999999
113,Dominica,11000,-4.7000000000000002
114,Georgia,10700,5
115,Mexico,10275,-0.29999999999999999
116,Bulgaria,9888,3.3900000000000001
117,Argentina,9807,-2.0299999999999998
118,Fiji,9800,3
119,Armenia,9500,7.5
120,Equatorial-Guinea,9228,-3.2000000000000002
121,Jamaica,9200,0.69999999999999996
122,Gabon,9119,0.5
123,Bhutan,9000,7.4000000000000004
124,Belize,8300,0.80000000000000004
125,Guatemala,8200,2.7999999999999998
126,Libya,8141,64
127,Guyana,8100,2.1000000000000001
128,China,8041,6.1399999999999997
129,El-Salvador,8000,2.2999999999999998
130,Namibia,7873,-1.5600000000000001
131,Colombia,7838,3.2599999999999998
133,Venezuela,7704,-19.670000000000002
134,Turkmenistan,7644,6.5
135,Ukraine,7439,3.2400000000000002
136,Laos,7400,6.9000000000000004
137,South-Africa,7341,5.9999999999999998E-2
138,Serbia,7268,4.1799999999999997
139,Uzbekistan,6900,5.2999999999999998
