country,Crude_oil_production,Crude_oil_exports,Crude_oil_imports
Afghanistan,0,0,0
Albania,14000,17290,0
Algeria,1259000,756400,5340
American-Samoa,0,0,0
Andorra,0,0,0
Angola,1593000,1782000,0
Antigua-and-Barbuda,0,0,0
Argentina,489000,36630,16740
Armenia,0,0,0
Aruba,0,0,0
Australia,284000,192500,341700
Austria,13000,0,146600
Azerbaijan,798000,718800,0
Bahamas-The,0,0,0
Bahrain,40000,0,226200
Bangladesh,3000,0,21860
Barbados,1000,674,0
Belarus,31000,31730,468400
Belgium,0,0,687600
Belize,2000,1220,0
Benin,0,0,0
Bermuda,0,0,0
Bhutan,0,0,0
Bolivia,60000,1274,0
Bosnia-and-Herzegovina,0,0,18480
Botswana,0,0,0
Brazil,2587000,736600,297700
British-Virgin-Islands,0,0,0
Brunei,100000,127400,160
Bulgaria,1000,0,133900
Burkina-Faso,0,0,0
Burma,11000,1824,0
Burundi,0,0,0
Cabo-Verde,0,0,0
Cambodia,0,0,0
Cameroon,69000,96370,36480
Canada,4264000,2818000,806700
Cayman-Islands,0,0,0
Central-African-Republic,0,0,0
Chad,132000,70440,0
Chile,3000,0,169600
China,3773000,57310,6710000
Colombia,863000,726700,0
Comoros,0,0,0
Congo-Democratic-Republic-of-the,17000,20000,0
Congo-Republic-of-the,340000,254100,0
Cook-Islands,0,0,0
Costa-Rica,0,0,0
Cote-d'Ivoire,52000,26700,62350
Croatia,14000,0,55400
Cuba,50000,0,112400
Curacao,0,0,191300
Cyprus,0,0,0
Czechia,2000,446,155900
Denmark,115000,82980,98240
Djibouti,0,0,0
Dominica,0,0,0
Dominican-Republic,0,0,16980
Ecuador,517000,383500,0
Egypt,639000,246500,64760
El-Salvador,0,0,0
Equatorial-Guinea,172000,308700,0
Eritrea,0,0,0
Estonia,0,0,0
Eswatini,0,0,0
Ethiopia,0,0,0
Falkland-Islands-(Islas-Malvinas),0,0,0
Faroe-Islands,0,0,0
Fiji,0,0,0
Finland,0,0,236700
France,16000,0,1147000
French-Polynesia,0,0,0
Gabon,196000,214200,0
Gambia-The,0,0,0
Georgia,400,3006,2660
Germany,41000,6569,1836000
Ghana,173000,104000,6220
Gibraltar,0,0,0
Greece,4100,3229,484300
Greenland,0,0,0
Grenada,0,0,0
Guam,0,0,0
Guatemala,9600,9383,0
Guinea,0,0,0
Guinea-Bissau,0,0,0
Guyana,0,0,0
Haiti,0,0,0
Honduras,0,0,0
Hong-Kong,0,0,0
Hungary,16000,2713,121000
Iceland,0,0,0
India,709000,0,4057000
Indonesia,772000,302300,498500
Iran,4251000,750200,0
Iraq,4613000,3092000,0
Ireland,0,5900,66210
Israel,390,0,231600
Italy,90000,13790,1341000
Jamaica,0,0,24360
Japan,3200,0,3208000
Jordan,22,0,67980
Kazakhstan,1856000,1409000,1480
Kenya,0,0,12550
Kiribati,0,0,0
Korea-North,0,0,10640
Korea-South,0,0,3057000
Kosovo,0,0,0
Kuwait,2807000,479700,0
Kyrgyzstan,1000,0,4480
Laos,0,0,0
Latvia,0,0,0
Lebanon,0,0,0
Lesotho,0,0,0
Liberia,0,0,0
Libya,1039000,337800,0
Lithuania,2000,1002,182900
Luxembourg,0,0,0
Macau,0,0,0
Macedonia,0,142,0
Madagascar,0,0,0
Malawi,0,0,0
Malaysia,647000,326200,166000
Maldives,0,0,0
Mali,0,0,0
Malta,0,0,0
Marshall-Islands,0,0,0
Mauritania,4000,5333,0
Mauritius,0,0,0
Mexico,1852000,1214000,0
Micronesia-Federated-States-of,0,0,0
Moldova,0,0,20
Mongolia,20000,14360,0
Montenegro,0,0,0
Montserrat,0,0,0
Morocco,160,0,61160
Mozambique,0,0,0
Namibia,0,0,0
Nauru,0,0,0
Nepal,0,0,0
Netherlands,18000,7984,1094000
New-Caledonia,0,0,0
New-Zealand,24000,26440,108900
Nicaragua,0,0,16180
Niger,9000,0,0
Nigeria,1989000,2096000,0
Niue,0,0,0
Norway,1517000,1383000,36550
Oman,979000,844100,0
Pakistan,90000,13150,168200
Panama,0,0,0
Papua-New-Guinea,45000,55600,22220
Paraguay,0,0,0
Peru,49000,7995,86060
Philippines,13000,16450,211400
Poland,21000,4451,493100
Portugal,0,0,285200
Puerto-Rico,0,0,0
Qatar,1464000,1150000,0
Romania,70000,2076,145300
Russia,10759000,4921000,76220
Rwanda,0,0,0
Saint-Helena-Ascension-and-Tristan-da-Cunha,0,0,0
Saint-Kitts-and-Nevis,0,0,0
Saint-Lucia,0,0,0
Saint-Pierre-and-Miquelon,0,0,0
Saint-Vincent-and-the-Grenadines,0,0,0
Samoa,0,0,0
Sao-Tome-and-Principe,0,0,0
Saudi-Arabia,10425000,7341000,0
Senegal,0,0,17880
Serbia,17000,123,40980
Seychelles,0,0,0
Sierra-Leone,0,0,0
Singapore,0,14780,783300
Slovakia,200,1022,111200
Slovenia,5,0,0
Solomon-Islands,0,0,0
Somalia,0,0,0
South-Africa,1600,0,404000
South-Sudan,150200,147300,0
Spain,1700,0,1325000
Sri-Lanka,0,0,33540
Sudan,95000,19540,9440
Suriname,17000,0,820
Svalbard,194300,16070,0
Sweden,0,14570,400200
Switzerland,0,0,57400
Syria,25000,0,87660
Taiwan,196,0,846400
Tajikistan,180,0,0
Tanzania,0,0,0
Thailand,228000,790,875400
Timor-Leste,33000,62060,0
Togo,0,0,0
Tonga,0,0,0
Trinidad-and-Tobago,63000,31030,80860
Tunisia,39000,39980,17580
Turkey,55000,0,521500
Turkmenistan,244000,67790,0
Turks-and-Caicos-Islands,0,0,0
Tuvalu,0,0,0
Uganda,0,0,0
Ukraine,32000,413,4720
United-Arab-Emirates,3216000,2552000,0
United-Kingdom,1000000,710600,907100
United-States,10962000,1158000,7969000
Uruguay,0,0,40200
Uzbekistan,41000,27000,420
Vanuatu,0,0,0
Venezuela,1484000,1656000,0
Vietnam,242000,324600,0
Virgin-Islands,0,0,0
West-Bank,0,0,0
Yemen,61000,8990,0
Zambia,0,0,12860
Zimbabwe,0,0,0
