country,Infant_Mortality_rate,Life_expectancy_at_birth,Birth_Rate,Death_Rate
Afghanistan,104.3,52.799999999999997,36.700000000000003,12.699999999999999
Albania,10.800000000000001,79,13,7.0999999999999996
Algeria,17.600000000000001,77.5,20,4.4000000000000004
American-Samoa,9.9000000000000004,74.799999999999997,17.800000000000001,5.9000000000000004
Andorra,3.5,83,7,7.7000000000000002
Angola,62.299999999999997,61.299999999999997,42.700000000000003,8.5
Anguilla,3.2999999999999998,81.799999999999997,12.199999999999999,4.7999999999999998
Antigua-and-Barbuda,11.1,77.299999999999997,15.4,5.7999999999999998
Argentina,9,77.799999999999997,16,7.4000000000000004
Armenia,11.5,75.599999999999994,11.9,9.5
Aruba,9.8000000000000007,77.5,12.1,8.6999999999999993
Australia,3.1000000000000001,82.700000000000003,12.4,6.9000000000000004
Austria,3.2999999999999998,81.900000000000006,9.5,9.8000000000000007
Azerbaijan,21.300000000000001,73.599999999999994,14.5,7
Bahamas-The,10.6,73.299999999999997,14.800000000000001,7.4000000000000004
Bahrain,8.3000000000000007,79.400000000000006,12.699999999999999,2.7999999999999998
Bangladesh,28.300000000000001,74.200000000000003,18.100000000000001,5.5
Barbados,9.5999999999999996,76,11.300000000000001,8.8000000000000007
Belarus,3.5,73.799999999999997,9.5,13.1
Belgium,3.2999999999999998,81.400000000000006,11.1,9.8000000000000007
Belize,11.199999999999999,75.299999999999997,22,4.0999999999999996
Benin,58.700000000000003,61.399999999999999,42.100000000000001,8.4000000000000004
Bermuda,2.5,81.700000000000003,11.199999999999999,9.0999999999999996
Bhutan,27,72.099999999999994,16.300000000000001,6.2999999999999998
Bolivia,32.200000000000003,70.400000000000006,20.800000000000001,6.2999999999999998
Bosnia-and-Herzegovina,5.2000000000000002,77.5,8.5999999999999996,10.199999999999999
Botswana,26.800000000000001,64.799999999999997,20.899999999999999,9.1999999999999993
Brazil,15.9,74.700000000000003,13.6,6.9000000000000004
British-Virgin-Islands,11,79.200000000000003,11.1,5.4000000000000004
Brunei,8.8000000000000007,77.900000000000006,16.5,3.7999999999999998
Bulgaria,8.0999999999999996,75,8.3000000000000007,14.6
Burkina-Faso,52,62.700000000000003,35.100000000000001,8.1999999999999993
Burma,31.699999999999999,69.299999999999997,17,7.2000000000000002
Burundi,40.100000000000001,66.700000000000003,36.5,6.2000000000000002
Cabo-Verde,19.699999999999999,73.200000000000003,19.100000000000001,5.9000000000000004
Cambodia,43.700000000000003,65.900000000000006,21.300000000000001,7.2999999999999998
Cameroon,51.5,62.299999999999997,36.299999999999997,8.0999999999999996
Canada,4.2999999999999998,83.400000000000006,10.199999999999999,7.9000000000000004
Cayman-Islands,5.5,81.599999999999994,11.9,6.0999999999999996
Central-African-Republic,80.599999999999994,54.200000000000003,33.200000000000003,12.300000000000001
Chad,68.599999999999994,58.299999999999997,41.700000000000003,10
Chile,6.2000000000000002,79.400000000000006,13.1,6.5
China,11.4,76.099999999999994,11.6,8.1999999999999993
Colombia,12.300000000000001,76.599999999999994,15.4,5.5999999999999996
Comoros,55,65.700000000000003,23.600000000000001,6.9000000000000004
Congo-Democratic-Republic-of-the,64.5,61,41,8.4000000000000004
Congo-Republic-of-the,50.700000000000003,61.299999999999997,32.600000000000001,8.6999999999999993
Cook-Islands,11.9,76.599999999999994,13.300000000000001,9
Costa-Rica,7.5,79.200000000000003,14.800000000000001,4.9000000000000004
Cote-d'Ivoire,59.100000000000001,61.299999999999997,29.100000000000001,7.9000000000000004
Croatia,8.5999999999999996,76.700000000000003,8.6999999999999993,12.800000000000001
Cuba,4.2999999999999998,79.200000000000003,10.4,9.0999999999999996
Curacao,7,79,13.4,8.6999999999999993
Cyprus,7.4000000000000004,79.299999999999997,10.9,7
Czechia,2.6000000000000001,79.299999999999997,8.9000000000000004,10.699999999999999
Denmark,3.2000000000000002,81.200000000000003,11.1,9.5
Djibouti,41.600000000000001,64.700000000000003,22.699999999999999,7.2999999999999998
Dominica,9.6999999999999993,77.700000000000003,14.5,8
Dominican-Republic,20.899999999999999,72,18.5,6.2999999999999998
Ecuador,15,77.5,17,5.2000000000000002
Egypt,17.100000000000001,73.700000000000003,27.199999999999999,4.4000000000000004
El-Salvador,11.800000000000001,74.799999999999997,18.600000000000001,5.9000000000000004
Equatorial-Guinea,59.700000000000003,65.700000000000003,30.699999999999999,7.2999999999999998
Eritrea,43.299999999999997,66.200000000000003,27.899999999999999,6.9000000000000004
Estonia,3.7000000000000002,77.400000000000006,9.3000000000000007,12.9
Eswatini,42.799999999999997,58.600000000000001,24.5,10.1
Ethiopia,35.799999999999997,67.5,31.600000000000001,5.9000000000000004
Faroe-Islands,5.0999999999999996,80.799999999999997,14.9,8.8000000000000007
Fiji,8.8000000000000007,73.700000000000003,17.399999999999999,6.2999999999999998
Finland,2.5,81.299999999999997,10.6,10.300000000000001
France,3.2000000000000002,82.200000000000003,11.9,9.5999999999999996
French-Polynesia,4.5,77.900000000000006,14,5.5
Gabon,30.399999999999999,69,26.300000000000001,5.9000000000000004
Gambia-The,54.899999999999999,65.799999999999997,27,6.7000000000000002
Gaza-Strip,14.9,74.900000000000006,28.600000000000001,3
Georgia,13.800000000000001,77,11.6,11
